[2025-07-04 00:18:11] [PERFORMANCE] Performance: page_load (166.40520095825ms) | action: page_load | duration_ms: 166.40520095825 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:18:11] [PERFORMANCE] Performance: page_load (197.82018661499ms) | action: page_load | duration_ms: 197.82018661499 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751588291690_6cr54mrkw
[2025-07-04 00:18:18] [PERFORMANCE] Performance: page_load (184.68403816223ms) | action: page_load | duration_ms: 184.68403816223 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:18:18] [PERFORMANCE] Performance: page_load (198.15111160278ms) | action: page_load | duration_ms: 198.15111160278 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-04 00:18:25] [PERFORMANCE] Performance: page_load (175.65894126892ms) | action: page_load | duration_ms: 175.65894126892 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes
[2025-07-04 00:18:25] [PERFORMANCE] Performance: page_load (178.61700057983ms) | action: page_load | duration_ms: 178.61700057983 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:18:26] [PERFORMANCE] Performance: page_load (175.54092407227ms) | action: page_load | duration_ms: 175.54092407227 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751588305983_6ucia1x27
[2025-07-04 00:19:13] [PERFORMANCE] Performance: page_load (179.35109138489ms) | action: page_load | duration_ms: 179.35109138489 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-04 00:19:14] [PERFORMANCE] Performance: page_load (207.95798301697ms) | action: page_load | duration_ms: 207.95798301697 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/vibes?action=zippicks_vibes_load&page=1&session_id=zp_1751588353813_4ihp2t7ng
[2025-07-04 00:23:18] [PERFORMANCE] Performance: page_load (240.3290271759ms) | action: page_load | duration_ms: 240.3290271759 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-json/zippicks/v2/vibes
[2025-07-04 00:23:18] [PERFORMANCE] Performance: page_load (987.7781867981ms) | action: page_load | duration_ms: 987.7781867981 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:24:31] [PERFORMANCE] Performance: page_load (217.1528339386ms) | action: page_load | duration_ms: 217.1528339386 | user_id: 0 | ip: 51.161.172.247 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 00:28:18] [PERFORMANCE] Performance: page_load (199.92017745972ms) | action: page_load | duration_ms: 199.92017745972 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 00:32:39] [PERFORMANCE] Performance: page_load (177.71911621094ms) | action: page_load | duration_ms: 177.71911621094 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
