[2025-07-01 00:59:55] [PERFORMANCE] Performance: page_load (142.76790618896ms) | action: page_load | duration_ms: 142.76790618896 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/about
[2025-07-01 00:59:56] [PERFORMANCE] Performance: page_load (165.09604454041ms) | action: page_load | duration_ms: 165.09604454041 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/debug/default/view?panel=config
[2025-07-01 00:59:56] [PERFORMANCE] Performance: page_load (154.29091453552ms) | action: page_load | duration_ms: 154.29091453552 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/v2/_catalog
[2025-07-01 00:59:57] [PERFORMANCE] Performance: page_load (205.4181098938ms) | action: page_load | duration_ms: 205.4181098938 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application
[2025-07-01 00:59:58] [PERFORMANCE] Performance: page_load (167.32382774353ms) | action: page_load | duration_ms: 167.32382774353 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/login.action
[2025-07-01 00:59:59] [PERFORMANCE] Performance: page_load (155.3111076355ms) | action: page_load | duration_ms: 155.3111076355 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/_all_dbs
[2025-07-01 01:00:00] [PERFORMANCE] Performance: page_load (171.91505432129ms) | action: page_load | duration_ms: 171.91505432129 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/.DS_Store
[2025-07-01 01:00:01] [PERFORMANCE] Performance: page_load (168.03908348083ms) | action: page_load | duration_ms: 168.03908348083 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/s/2353e213e2631313e20353/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties
[2025-07-01 01:00:02] [PERFORMANCE] Performance: page_load (183.55202674866ms) | action: page_load | duration_ms: 183.55202674866 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/config.json
[2025-07-01 01:00:03] [PERFORMANCE] Performance: page_load (177.71291732788ms) | action: page_load | duration_ms: 177.71291732788 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/telescope/requests
[2025-07-01 01:00:04] [PERFORMANCE] Performance: page_load (501.16300582886ms) | action: page_load | duration_ms: 501.16300582886 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/info.php
[2025-07-01 01:00:05] [PERFORMANCE] Performance: page_load (190.59610366821ms) | action: page_load | duration_ms: 190.59610366821 | user_id: 0 | ip: 209.38.248.17 | url: https://zippicks.com/?rest_route=/wp/v2/users/
[2025-07-01 01:03:18] [PERFORMANCE] Performance: page_load (196.49910926819ms) | action: page_load | duration_ms: 196.49910926819 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:08:17] [PERFORMANCE] Performance: page_load (168.55788230896ms) | action: page_load | duration_ms: 168.55788230896 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:11:49] [PERFORMANCE] Performance: page_load (182.23094940186ms) | action: page_load | duration_ms: 182.23094940186 | user_id: 0 | ip: 66.249.79.34 | url: https://zippicks.com/author/zippicks/
[2025-07-01 01:13:18] [PERFORMANCE] Performance: page_load (167.9790019989ms) | action: page_load | duration_ms: 167.9790019989 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:18:17] [PERFORMANCE] Performance: page_load (182.07693099976ms) | action: page_load | duration_ms: 182.07693099976 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:18:59] [PERFORMANCE] Performance: page_load (190.69886207581ms) | action: page_load | duration_ms: 190.69886207581 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-01 01:19:05] [PERFORMANCE] Performance: page_load (162.31918334961ms) | action: page_load | duration_ms: 162.31918334961 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-07-01 01:19:08] [PERFORMANCE] Performance: page_load (207.21220970154ms) | action: page_load | duration_ms: 207.21220970154 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-07-01 01:19:10] [PERFORMANCE] Performance: page_load (168.81608963013ms) | action: page_load | duration_ms: 168.81608963013 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-07-01 01:23:18] [PERFORMANCE] Performance: page_load (616.97816848755ms) | action: page_load | duration_ms: 616.97816848755 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:28:17] [PERFORMANCE] Performance: page_load (185.87303161621ms) | action: page_load | duration_ms: 185.87303161621 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:30:27] [PERFORMANCE] Performance: page_load (184.05508995056ms) | action: page_load | duration_ms: 184.05508995056 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-07-01 01:30:30] [PERFORMANCE] Performance: page_load (194.94700431824ms) | action: page_load | duration_ms: 194.94700431824 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-07-01 01:30:31] [PERFORMANCE] Performance: page_load (169.23117637634ms) | action: page_load | duration_ms: 169.23117637634 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-07-01 01:33:18] [PERFORMANCE] Performance: page_load (191.98703765869ms) | action: page_load | duration_ms: 191.98703765869 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:38:18] [PERFORMANCE] Performance: page_load (178.32279205322ms) | action: page_load | duration_ms: 178.32279205322 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:43:17] [PERFORMANCE] Performance: page_load (254.05406951904ms) | action: page_load | duration_ms: 254.05406951904 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:43:58] [PERFORMANCE] Performance: page_load (178.62796783447ms) | action: page_load | duration_ms: 178.62796783447 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/register/
[2025-07-01 01:44:01] [PERFORMANCE] Performance: page_load (153.06901931763ms) | action: page_load | duration_ms: 153.06901931763 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/comments/feed/
[2025-07-01 01:44:02] [PERFORMANCE] Performance: page_load (183.51197242737ms) | action: page_load | duration_ms: 183.51197242737 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/about/
[2025-07-01 01:44:04] [PERFORMANCE] Performance: page_load (182.20996856689ms) | action: page_load | duration_ms: 182.20996856689 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/feed/
[2025-07-01 01:44:05] [PERFORMANCE] Performance: page_load (166.72611236572ms) | action: page_load | duration_ms: 166.72611236572 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/wp-json/
[2025-07-01 01:44:11] [PERFORMANCE] Performance: page_load (160.94303131104ms) | action: page_load | duration_ms: 160.94303131104 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/wp-json/wp/v2/pages/27
[2025-07-01 01:44:13] [PERFORMANCE] Performance: page_load (177.72698402405ms) | action: page_load | duration_ms: 177.72698402405 | user_id: 0 | ip: 102.129.223.92 | url: https://zippicks.com/discover
[2025-07-01 01:48:17] [PERFORMANCE] Performance: page_load (173.67720603943ms) | action: page_load | duration_ms: 173.67720603943 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:52:51] [PERFORMANCE] Performance: page_load (149.76811408997ms) | action: page_load | duration_ms: 149.76811408997 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-01 01:53:10] [PERFORMANCE] Performance: page_load (140.81692695618ms) | action: page_load | duration_ms: 140.81692695618 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-07-01 01:53:12] [PERFORMANCE] Performance: page_load (213.32001686096ms) | action: page_load | duration_ms: 213.32001686096 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-07-01 01:53:12] [PERFORMANCE] Performance: page_load (137.67313957214ms) | action: page_load | duration_ms: 137.67313957214 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-07-01 01:53:12] [PERFORMANCE] Performance: page_load (145.49803733826ms) | action: page_load | duration_ms: 145.49803733826 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon-precomposed.png
[2025-07-01 01:53:13] [PERFORMANCE] Performance: page_load (136.9731426239ms) | action: page_load | duration_ms: 136.9731426239 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/apple-touch-icon.png
[2025-07-01 01:53:18] [PERFORMANCE] Performance: page_load (218.1191444397ms) | action: page_load | duration_ms: 218.1191444397 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 01:54:27] [PERFORMANCE] Performance: page_load (169.95191574097ms) | action: page_load | duration_ms: 169.95191574097 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-07-01 01:58:18] [PERFORMANCE] Performance: page_load (199.01394844055ms) | action: page_load | duration_ms: 199.01394844055 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:03:17] [PERFORMANCE] Performance: page_load (170.97520828247ms) | action: page_load | duration_ms: 170.97520828247 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:08:17] [PERFORMANCE] Performance: page_load (150.6679058075ms) | action: page_load | duration_ms: 150.6679058075 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:13:17] [PERFORMANCE] Performance: page_load (186.39492988586ms) | action: page_load | duration_ms: 186.39492988586 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:18:17] [PERFORMANCE] Performance: page_load (201.23791694641ms) | action: page_load | duration_ms: 201.23791694641 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:23:18] [PERFORMANCE] Performance: page_load (164.48593139648ms) | action: page_load | duration_ms: 164.48593139648 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-json/zippicks/v2/vibes
[2025-07-01 02:23:18] [PERFORMANCE] Performance: page_load (1107.2559356689ms) | action: page_load | duration_ms: 1107.2559356689 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:28:17] [PERFORMANCE] Performance: page_load (190.06586074829ms) | action: page_load | duration_ms: 190.06586074829 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:33:17] [PERFORMANCE] Performance: page_load (188.4229183197ms) | action: page_load | duration_ms: 188.4229183197 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:38:18] [PERFORMANCE] Performance: page_load (197.21698760986ms) | action: page_load | duration_ms: 197.21698760986 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:43:18] [PERFORMANCE] Performance: page_load (208.74810218811ms) | action: page_load | duration_ms: 208.74810218811 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:48:17] [PERFORMANCE] Performance: page_load (179.78382110596ms) | action: page_load | duration_ms: 179.78382110596 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:53:18] [PERFORMANCE] Performance: page_load (187.14284896851ms) | action: page_load | duration_ms: 187.14284896851 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:58:17] [PERFORMANCE] Performance: page_load (231.31012916565ms) | action: page_load | duration_ms: 231.31012916565 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-01 02:59:37] [PERFORMANCE] Performance: page_load (174.88718032837ms) | action: page_load | duration_ms: 174.88718032837 | user_id: 0 | ip: 104.210.140.143 | url: https://zippicks.com/robots.txt
[2025-07-01 03:03:17] [PERFORMANCE] Performance: page_load (175.10104179382ms) | action: page_load | duration_ms: 175.10104179382 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
