[2025-06-30 00:03:17] [PERFORMANCE] Performance: page_load (179.20207977295ms) | action: page_load | duration_ms: 179.20207977295 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:08:17] [PERFORMANCE] Performance: page_load (182.94095993042ms) | action: page_load | duration_ms: 182.94095993042 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:10:39] [PERFORMANCE] Performance: page_load (150.30288696289ms) | action: page_load | duration_ms: 150.30288696289 | user_id: 0 | ip: 12.226.155.50 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-30 00:10:41] [PERFORMANCE] Performance: page_load (202.27217674255ms) | action: page_load | duration_ms: 202.27217674255 | user_id: 0 | ip: 12.226.155.50 | url: https://zippicks.com/wp-login.php
[2025-06-30 00:10:43] [PERFORMANCE] Performance: page_load (213.52005004883ms) | action: page_load | duration_ms: 213.52005004883 | user_id: 1 | ip: 12.226.155.50 | url: https://zippicks.com/wp-login.php
[2025-06-30 00:10:43] [PERFORMANCE] Performance: page_load (160.51197052002ms) | action: page_load | duration_ms: 160.51197052002 | user_id: 0 | ip: 12.226.155.50 | url: https://zippicks.com/wp-json/wp/v2/
[2025-06-30 00:13:17] [PERFORMANCE] Performance: page_load (195.96695899963ms) | action: page_load | duration_ms: 195.96695899963 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:18:17] [PERFORMANCE] Performance: page_load (156.14891052246ms) | action: page_load | duration_ms: 156.14891052246 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:23:18] [PERFORMANCE] Performance: page_load (658.66589546204ms) | action: page_load | duration_ms: 658.66589546204 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:28:18] [PERFORMANCE] Performance: page_load (174.28088188171ms) | action: page_load | duration_ms: 174.28088188171 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-30 00:29:34] [PERFORMANCE] Performance: page_load (192.73400306702ms) | action: page_load | duration_ms: 192.73400306702 | user_id: 1 | ip: 12.226.155.50 | url: https://zippicks.com/
