[2025-06-26 21:50:08] [PERFORMANCE] Performance: page_load (536.465883255ms) | action: page_load | duration_ms: 536.465883255 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:50:08] [PERFORMANCE] Performance: page_load (46.04697227478ms) | action: page_load | duration_ms: 46.04697227478 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:50:24] [PERFORMANCE] Performance: page_load (110.62598228455ms) | action: page_load | duration_ms: 110.62598228455 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/get-directory-structure
[2025-06-26 21:50:25] [PERFORMANCE] Performance: page_load (667.24801063538ms) | action: page_load | duration_ms: 667.24801063538 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/search
[2025-06-26 21:50:25] [PERFORMANCE] Performance: page_load (49.630880355835ms) | action: page_load | duration_ms: 49.630880355835 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/string-locator/v1/clean
[2025-06-26 21:50:30] [PERFORMANCE] Performance: page_load (74.892997741699ms) | action: page_load | duration_ms: 74.892997741699 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/wordpress
[2025-06-26 21:50:31] [PERFORMANCE] Performance: page_load (57.456970214844ms) | action: page_load | duration_ms: 57.456970214844 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/wp
[2025-06-26 21:50:31] [PERFORMANCE] Performance: page_load (57.159900665283ms) | action: page_load | duration_ms: 57.159900665283 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/bc
[2025-06-26 21:50:31] [PERFORMANCE] Performance: page_load (60.85991859436ms) | action: page_load | duration_ms: 60.85991859436 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/bk
[2025-06-26 21:50:31] [PERFORMANCE] Performance: page_load (59.725999832153ms) | action: page_load | duration_ms: 59.725999832153 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/backup
[2025-06-26 21:50:32] [PERFORMANCE] Performance: page_load (57.748794555664ms) | action: page_load | duration_ms: 57.748794555664 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/old
[2025-06-26 21:50:32] [PERFORMANCE] Performance: page_load (62.219858169556ms) | action: page_load | duration_ms: 62.219858169556 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/new
[2025-06-26 21:50:32] [PERFORMANCE] Performance: page_load (66.336870193481ms) | action: page_load | duration_ms: 66.336870193481 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/main
[2025-06-26 21:50:33] [PERFORMANCE] Performance: page_load (46.583890914917ms) | action: page_load | duration_ms: 46.583890914917 | user_id: 0 | ip: 34.138.163.23 | url: https://zippicks.com/home
[2025-06-26 21:53:02] [PERFORMANCE] Performance: page_load (91.567039489746ms) | action: page_load | duration_ms: 91.567039489746 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 21:58:02] [PERFORMANCE] Performance: page_load (76.910018920898ms) | action: page_load | duration_ms: 76.910018920898 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:03:02] [PERFORMANCE] Performance: page_load (71.661949157715ms) | action: page_load | duration_ms: 71.661949157715 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-26 22:05:52] [PERFORMANCE] Performance: page_load (63.251972198486ms) | action: page_load | duration_ms: 63.251972198486 | user_id: 0 | ip: 92.62.135.11 | url: https://zippicks.com/wp-login.php
