[2025-06-28 00:03:02] [PERFORMANCE] Performance: page_load (170.02511024475ms) | action: page_load | duration_ms: 170.02511024475 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:08:02] [PERFORMANCE] Performance: page_load (248.94189834595ms) | action: page_load | duration_ms: 248.94189834595 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:09:02] [PERFORMANCE] Performance: page_load (145.67685127258ms) | action: page_load | duration_ms: 145.67685127258 | user_id: 0 | ip: 176.58.122.186 | url: https://zippicks.com/
[2025-06-28 00:13:02] [PERFORMANCE] Performance: page_load (152.52995491028ms) | action: page_load | duration_ms: 152.52995491028 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:18:02] [PERFORMANCE] Performance: page_load (147.44997024536ms) | action: page_load | duration_ms: 147.44997024536 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:23:02] [PERFORMANCE] Performance: page_load (154.61492538452ms) | action: page_load | duration_ms: 154.61492538452 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:27:36] [PERFORMANCE] Performance: page_load (124.32813644409ms) | action: page_load | duration_ms: 124.32813644409 | user_id: 0 | ip: 45.61.184.107 | url: https://zippicks.com/wp-login.php
[2025-06-28 00:27:37] [PERFORMANCE] Performance: page_load (188.54284286499ms) | action: page_load | duration_ms: 188.54284286499 | user_id: 0 | ip: 45.61.184.107 | url: https://zippicks.com/wp-login.php
[2025-06-28 00:28:02] [PERFORMANCE] Performance: page_load (184.51309204102ms) | action: page_load | duration_ms: 184.51309204102 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:29:52] [PERFORMANCE] Performance: page_load (141.40915870667ms) | action: page_load | duration_ms: 141.40915870667 | user_id: 0 | ip: 43.166.7.113 | url: https://zippicks.com/
[2025-06-28 00:33:02] [PERFORMANCE] Performance: page_load (168.17808151245ms) | action: page_load | duration_ms: 168.17808151245 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:35:33] [PERFORMANCE] Performance: page_load (134.90796089172ms) | action: page_load | duration_ms: 134.90796089172 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-28 00:36:03] [PERFORMANCE] Performance: page_load (165.5809879303ms) | action: page_load | duration_ms: 165.5809879303 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-28 00:36:05] [PERFORMANCE] Performance: page_load (177.92391777039ms) | action: page_load | duration_ms: 177.92391777039 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-28 00:36:05] [PERFORMANCE] Performance: page_load (143.09000968933ms) | action: page_load | duration_ms: 143.09000968933 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-06-28 00:38:03] [PERFORMANCE] Performance: page_load (159.63506698608ms) | action: page_load | duration_ms: 159.63506698608 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:43:02] [PERFORMANCE] Performance: page_load (167.16694831848ms) | action: page_load | duration_ms: 167.16694831848 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:43:08] [PERFORMANCE] Performance: page_load (125.13399124146ms) | action: page_load | duration_ms: 125.13399124146 | user_id: 0 | ip: 43.166.1.243 | url: https://zippicks.com/business/claim
[2025-06-28 00:48:02] [PERFORMANCE] Performance: page_load (136.15703582764ms) | action: page_load | duration_ms: 136.15703582764 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:50:52] [PERFORMANCE] Performance: page_load (133.21709632874ms) | action: page_load | duration_ms: 133.21709632874 | user_id: 0 | ip: 66.249.79.34 | url: https://zippicks.com/
[2025-06-28 00:52:41] [PERFORMANCE] Performance: page_load (209.80095863342ms) | action: page_load | duration_ms: 209.80095863342 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-06-28 00:52:49] [PERFORMANCE] Performance: page_load (146.08502388ms) | action: page_load | duration_ms: 146.08502388 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php?redirect_to=https%3A%2F%2Fzippicks.com%2Fwp-admin%2F&reauth=1
[2025-06-28 00:52:52] [PERFORMANCE] Performance: page_load (196.13695144653ms) | action: page_load | duration_ms: 196.13695144653 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-28 00:52:53] [PERFORMANCE] Performance: page_load (200.14691352844ms) | action: page_load | duration_ms: 200.14691352844 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-login.php
[2025-06-28 00:52:54] [PERFORMANCE] Performance: page_load (148.80418777466ms) | action: page_load | duration_ms: 148.80418777466 | user_id: 0 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/wp/v2/
[2025-06-28 00:53:02] [PERFORMANCE] Performance: page_load (167.83499717712ms) | action: page_load | duration_ms: 167.83499717712 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:53:06] [PERFORMANCE] Performance: page_load (109.15088653564ms) | action: page_load | duration_ms: 109.15088653564 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/favicon.ico
[2025-06-28 00:53:28] [PERFORMANCE] Performance: page_load (107.0511341095ms) | action: page_load | duration_ms: 107.0511341095 | user_id: 0 | ip: 176.58.122.186 | url: https://zippicks.com/
[2025-06-28 00:53:55] [PERFORMANCE] Performance: page_load (122.53880500793ms) | action: page_load | duration_ms: 122.53880500793 | user_id: 0 | ip: 43.131.253.14 | url: https://zippicks.com/business/dashboard
[2025-06-28 00:58:02] [PERFORMANCE] Performance: page_load (196.40398025513ms) | action: page_load | duration_ms: 196.40398025513 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 00:58:20] [PERFORMANCE] Performance: page_load (135.43200492859ms) | action: page_load | duration_ms: 135.43200492859 | user_id: 0 | ip: 173.252.107.113 | url: https://zippicks.com/robots.txt
[2025-06-28 01:03:03] [PERFORMANCE] Performance: page_load (25.017976760864ms) | action: page_load | duration_ms: 25.017976760864 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:04:10] [PERFORMANCE] Performance: page_load (25.369882583618ms) | action: page_load | duration_ms: 25.369882583618 | user_id: 0 | ip: 43.130.139.136 | url: https://zippicks.com/terms
[2025-06-28 01:08:01] [PERFORMANCE] Performance: page_load (27.406930923462ms) | action: page_load | duration_ms: 27.406930923462 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:12:27] [PERFORMANCE] Performance: page_load (45.973062515259ms) | action: page_load | duration_ms: 45.973062515259 | user_id: 0 | ip: 43.157.53.115 | url: https://zippicks.com/advertise
[2025-06-28 01:13:02] [PERFORMANCE] Performance: page_load (23.249864578247ms) | action: page_load | duration_ms: 23.249864578247 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:18:02] [PERFORMANCE] Performance: page_load (182.27601051331ms) | action: page_load | duration_ms: 182.27601051331 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:22:07] [PERFORMANCE] Performance: page_load (156.14891052246ms) | action: page_load | duration_ms: 156.14891052246 | user_id: 0 | ip: 66.249.79.34 | url: https://zippicks.com/manual-registration/
[2025-06-28 01:22:19] [PERFORMANCE] Performance: page_load (126.50799751282ms) | action: page_load | duration_ms: 126.50799751282 | user_id: 0 | ip: 57.141.2.10 | url: https://zippicks.com/wp-sitemap.xml
[2025-06-28 01:23:02] [PERFORMANCE] Performance: page_load (156.14080429077ms) | action: page_load | duration_ms: 156.14080429077 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:23:53] [PERFORMANCE] Performance: page_load (125.26893615723ms) | action: page_load | duration_ms: 125.26893615723 | user_id: 0 | ip: 205.185.118.101 | url: https://zippicks.com/wp-login.php
[2025-06-28 01:23:53] [PERFORMANCE] Performance: page_load (176.65386199951ms) | action: page_load | duration_ms: 176.65386199951 | user_id: 0 | ip: 205.185.118.101 | url: https://zippicks.com/wp-login.php
[2025-06-28 01:24:35] [PERFORMANCE] Performance: page_load (141.0059928894ms) | action: page_load | duration_ms: 141.0059928894 | user_id: 0 | ip: 49.51.47.100 | url: https://zippicks.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fzippicks.com%2F
[2025-06-28 01:26:21] [PERFORMANCE] Performance: page_load (143.37086677551ms) | action: page_load | duration_ms: 143.37086677551 | user_id: 0 | ip: 43.130.105.21 | url: https://zippicks.com/
[2025-06-28 01:28:02] [PERFORMANCE] Performance: page_load (132.54904747009ms) | action: page_load | duration_ms: 132.54904747009 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:33:02] [PERFORMANCE] Performance: page_load (175.86922645569ms) | action: page_load | duration_ms: 175.86922645569 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-06-28 01:35:24] [PERFORMANCE] Performance: page_load (146.9898223877ms) | action: page_load | duration_ms: 146.9898223877 | user_id: 0 | ip: 170.106.11.141 | url: https://zippicks.com/business/claim
[2025-06-28 01:37:42] [PERFORMANCE] Performance: page_load (120.5940246582ms) | action: page_load | duration_ms: 120.5940246582 | user_id: 0 | ip: 198.98.53.3 | url: https://zippicks.com/wp-login.php
