[2025-07-03 00:03:18] [PERFORMANCE] Performance: page_load (179.12006378174ms) | action: page_load | duration_ms: 179.12006378174 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:08:17] [PERFORMANCE] Performance: page_load (188.96102905273ms) | action: page_load | duration_ms: 188.96102905273 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:13:17] [PERFORMANCE] Performance: page_load (168.39599609375ms) | action: page_load | duration_ms: 168.39599609375 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:18:17] [PERFORMANCE] Performance: page_load (164.55507278442ms) | action: page_load | duration_ms: 164.55507278442 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:20:14] [PERFORMANCE] Performance: page_load (212.2278213501ms) | action: page_load | duration_ms: 212.2278213501 | user_id: 0 | ip: 162.14.210.15 | url: https://zippicks.com/
[2025-07-03 00:23:18] [PERFORMANCE] Performance: page_load (170.87602615356ms) | action: page_load | duration_ms: 170.87602615356 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-json/zippicks/v2/vibes
[2025-07-03 00:23:18] [PERFORMANCE] Performance: page_load (1172.0740795135ms) | action: page_load | duration_ms: 1172.0740795135 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:28:17] [PERFORMANCE] Performance: page_load (188.24601173401ms) | action: page_load | duration_ms: 188.24601173401 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:30:12] [PERFORMANCE] Performance: page_load (167.86193847656ms) | action: page_load | duration_ms: 167.86193847656 | user_id: 0 | ip: 176.58.122.186 | url: https://zippicks.com/
[2025-07-03 00:33:18] [PERFORMANCE] Performance: page_load (179.16202545166ms) | action: page_load | duration_ms: 179.16202545166 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-03 00:36:16] [PERFORMANCE] Performance: page_load (198.34399223328ms) | action: page_load | duration_ms: 198.34399223328 | user_id: 0 | ip: 66.249.79.35 | url: https://zippicks.com/author/vosorio
[2025-07-03 00:38:04] [PERFORMANCE] Performance: page_load (271.7068195343ms) | action: page_load | duration_ms: 271.7068195343 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-03 00:38:09] [PERFORMANCE] Performance: page_load (159.22498703003ms) | action: page_load | duration_ms: 159.22498703003 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/
[2025-07-03 00:38:10] [PERFORMANCE] Performance: page_load (152.60791778564ms) | action: page_load | duration_ms: 152.60791778564 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/vibes/
[2025-07-03 00:38:10] [PERFORMANCE] Performance: page_load (180.01794815063ms) | action: page_load | duration_ms: 180.01794815063 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/wp-json/zippicks/v2/categories
